ID,GEO,Technical_2008,Technical_2009,Technical_2010,Technical_2011,Technical_2012,Technical_2013,Technical_2014,Technical_2015,Technical_2016,Technical_2017,Technical_2018,Technical_2019,Technical_2020,NonTechnical_2008,NonTechnical_2009,NonTechnical_2010,NonTechnical_2011,NonTechnical_2012,NonTechnical_2013,NonTechnical_2014,NonTechnical_2015,NonTechnical_2016,NonTechnical_2017,NonTechnical_2018,NonTechnical_2019,NonTechnical_2020,hrst_2010,hrst_2011,hrst_2012,hrst_2013,hrst_2014,hrst_2015,hrst_2016,hrst_2017,hrst_2018,hrst_2019,hrst_2020,number_of_pop_2010,number_of_pop_2011,number_of_pop_2012,number_of_pop_2013,number_of_pop_2014,number_of_pop_2015,number_of_pop_2016,number_of_pop_2017,number_of_pop_2018,number_of_pop_2019,number_of_pop_2020,number_of_pop_2021,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020
ALB,Albania,2 977,3375.021142,3826.571937,4338.536612,4 919,5577.125,6235.25,6893.375,7 552,8209.625,8867.75,9525.875,10 184,2 977,3375.021142,3826.571937,4338.536612,4 919,5577.125,6235.25,6893.375,7 552,8209.625,8867.75,9525.875,10 184,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.451062699,1.473058103,1.256589952,0.678486249
AUT,Austria,72 294,72939.75,73585.5,74231.25,74 877,76073.75,77270.5,78467.25,79 664,80443.5,81223,82002.5,82 782,72 440,73232.25,74024.5,74816.75,75 609,76994,78379,79764,81 149,83083.25,85017.5,86951.75,88 886,39.1,40.4,41.7,43.0,48.3,48.6,49.1,50.1,50.4,51.1,52.2,6 368.7,6 397.5,6 439.6,6 486.3,6 527.3,6 555.2,6 612.2,6 614.7,6 629.7,6 645.2,6 677.2,6 719.5,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667,1.848294698,1.005534159,1.801930508,1.622589405,2.312344592
BEL,Belgium,75 005,79035.5,83066,87096.5,91 127,88352.5,85578,82803.5,80 029,79243.25,78457.5,77671.75,76 886,63 415,66115.75,68816.5,71517.25,74 218,77156.75,80095.5,83034.25,85 973,87336.25,88699.5,90062.75,91 426,49.3,49.6,50.3,49.6,51.1,50.5,51.1,54.3,54.4,54.6,56.6,8 100.7,8 162.3,8 211.0,8 247.4,8 277.1,8 317.0,8 360.2,8 359.0,8 411.3,8 452.9,8 497.2,8 533.9,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555,1.330386128,1.920850695,1.830272796,1.50804775,1.794827211,1.254807525
BIH,Bosnia,9 108,10327.11034,11708.79499,13275.33797,13 659,14053.75,14448.5,14843.25,15 238,16607.25,17976.5,19345.75,20 715,7 184,7794.849889,8458.183083,9177.965206,9 959,10382.75,10806.5,11230.25,11 654,11662.75,11671.5,11680.25,11 689,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.406961876,1.696361815,2.747629988,2.63114018,0.176003498
BGR,Bulgaria,12 555,14149.4375,15 744,16703.9375,17 664,18932.75,20201.5,21470.25,22 739,24642.25,26545.5,28448.75,30 352,7 935,8665.75,9396.5,10127.25,10 858,11297.75,11737.5,12177.25,12 617,13823.25,15029.5,16235.75,17 442,32.1,32.7,32.8,34.0,35.4,36.3,36.8,36.5,36.8,36.6,38.0,5 827.0,5 766.2,5 698.1,5 649.3,5 608.7,5 562.9,5 510.3,5 454.8,5 398.4,5 347.9,5 297.8,5 252.5,0.764233397,6.112979908,1.112136794,0.071962013,1.340740195,2.946785657,3.32208191,4.810288428,4.232654424,5.236819061,4.202619231
HRV,Croatia,28 423,28361.125,28 299,28564.125,28 829,28175.5,27522,26868.5,26 215,25577.39453,24955.29701,24348.33024,23 756,22 425,22278,22131,21984,21 837,22790.25,23743.5,24696.75,25 650,26640.04373,27668.30136,28736.24789,29845.41522,31.6,29.8,31.5,34.5,35.1,36.2,37.4,38.2,40.0,40.1,40.0,3 297.7,3 283.5,3 270.5,3 258.2,3 242.9,3 210.3,3 184.9,3 161.5,3 141.7,3 125.4,3 112.9,3 104.1,0.929440948,1.696719118,1.425412457,0.773358483,0.149114122,0.079655559,-0.074922101,1.163654826,2.010366801,1.919309384,-0.129291632
CYP,Cyprus,34 736,35465.1875,36 194,37146.6875,38 099,37652.75,37206.5,36760.25,36 314,39198.75,42083.5,44968.25,47 853,32 931,33932.75,34934.5,35936.25,36 938,37967.67453,39026.05202,40113.93258,41232.13862,42381.5155,43562.93212,44777.28163,46025.48203,44.0,47.1,48.5,47.9,48.8,49.3,50.6,50.9,52.0,52.5,53.0,615.9,634.7,644.6,641.8,634.8,627.1,628.7,638.7,645.4,653.4,660.3,670.8,1.880282357,1.61710658,1.675270124,-0.945904602,-1.333778547,-0.754048101,-0.572261904,1.038442846,1.003866522,1.12289749,-1.121198133
CZE,Czechia,32 719,33334.1875,33 949,34584.6875,35 220,35179.75,35139.5,35099.25,35 059,37448.75,39838.5,42228.25,44 618,28 495,29594.5,30694,31793.5,32 893,33327.5,33762,34196.5,34 631,36149,37667,39185,40 703,37.8,35.9,36.6,37.2,38.1,38.1,38.7,39.6,39.9,39.8,40.6,8 334.6,8 271.8,8 268.8,8 237.8,8 214.3,8 201.0,8 174.5,8 161.6,8 136.6,8 129.7,8 131.1,8 099.2,-1.425313992,-0.020571958,1.450921071,1.364704738,2.578536316,0.99227616,1.141450601,1.306944317,2.568094546,3.889772042,4.395392657
DNK,Denmark,78 202,80878.875,83 556,85684.875,87 814,88909.5,90005,91100.5,92 196,92520,92844,93168,93 492,68 563,70352.75,72142.5,73932.25,75 722,77276.5,78831,80385.5,81 940,81923.5,81907,81890.5,81 874,51.2,52.1,53.3,53.8,54.1,54.6,55.4,56.9,57.7,58.4,59.3,4 149.6,4 174.5,4 197.3,4 224.5,4 252.9,4 283.6,4 320.0,4 341.3,4 354.6,4 360.2,4 351.1,4 326.1,3.224072874,0.638643468,2.375183628,0.888170882,1.032108578,0.433060802,0.254595167,1.184661612,0.747856838,0.742103117,2.612958681
EST,Estonia,32911.14279,33623.86876,34352.02958,35095.95949,35 856,36632.5,37409,38185.5,38 962,41573.5,44185,46796.5,49 408,12010.35124,13547.62555,15281.66449,17237.6531,19 444,21932.75,24421.5,26910.25,29 399,31925,34451,36977,39 503,45.2,47.3,49.2,48.9,48.9,47.9,47.9,49.1,50.2,51.9,52.8,1 023.9,1 016.7,1 005.8,995.9,987.0,973.2,971.6,965.4,965.6,970.3,974.2,975.9,1.822352304,5.473736785,4.072175623,4.03124999,2.915613323,1.03644083,2.187309907,3.590365015,4.024454151,3.188931533,-0.294903106
